customer_id,process_code,lang,status,started_at,completed_at
971302.0,LivenessProcess,RU,ERROR,2025-01-09 13:56:17.737,2025-01-09 13:57:38.282
970874.0,CustomerRegistrationProcess,RU,DECLINED,2025-01-09 14:04:06.858,2025-01-09 14:08:58.462
965574.0,CustomerRegistrationProcess,RU,ERROR,2025-01-08 21:42:00.916,2025-01-08 21:53:34.064
1002080.0,LivenessProcess,RU,COMPLETED,2025-01-10 18:49:17.196,2025-01-10 18:50:14.698
963542.0,LivenessProcess,RU,DECLINED,2025-01-08 19:32:32.030,2025-01-08 19:34:43.809
1002072.0,LivenessProcess,RU,COMPLETED,2025-01-10 18:48:52.497,2025-01-10 18:51:00.156
958248.0,LivenessProcess,RU,DECLINED,2025-01-08 17:36:52.833,2025-01-08 17:37:46.612
947024.0,CustomerRegistrationProcess,RU,DECLINED,2025-01-07 15:11:23.933,2025-01-07 15:12:40.058
967630.0,CustomerRegistrationProcess,RU,DECLINED,2025-01-09 01:30:31.832,2025-01-09 01:32:10.520
923828.0,CustomerRegistrationProcess,RU,DECLINED,2025-01-04 16:27:43.812,2025-01-04 16:58:14.461
