purchase_date,remote_flag,customer_id,counter,purchase_amount_real,cashback_amount_real,cashback_rate,app_name_normalized
2026-03-03,Оплата в Superapp,4008474.0,1,35931.0,7545.509999999995,0.2099999999999998,arbuz
2026-05-10,Оплата в Superapp,4155630.0,1,13500.0,2160.0,0.16,ticketon
2026-05-06,Оплата в Superapp,3966618.0,1,18000.0,2880.0,0.16,ticketon
2026-04-07,Оплата в Superapp,4084518.0,1,9219.0,1014.0899999999964,0.1099999999999996,train_tickets
2026-01-05,Оплата в Superapp,3757106.0,1,6600.0,1188.0,0.18,ticketon
2026-04-15,Оплата в Superapp,3873064.0,1,20812.5,2913.75,0.14,train_tickets
2026-04-16,Оплата в Superapp,4419250.0,1,9207.0,1657.2599999999948,0.1799999999999994,arbuz
2026-05-05,Оплата в Superapp,3247780.0,1,65256.0,7178.160000000004,0.11,train_tickets
2026-02-23,Оплата в Superapp,3776666.0,1,24000.0,4560.0,0.19,ticketon
2026-03-28,Оплата в Superapp,4210768.0,1,190878.0,15270.240000000003,0.08,flights
